,SKU,Product Description,Menge / Unit (Reference),Product Qty,Purchase,Shipping,Free Shipping,Purchace incl. Freight,Purchasing Total,Margin %,Yield,Unique Selling Price,Total Selling Price
414,,,16.0,10368.0,"1,530","4,99",250.0,"1,530","15863,04","0,13","2062,20","1,73€","17925,24"
415,,,18.0,11664.0,"1,530","4,99",250.0,"1,530","17845,92","0,12","2141,51","1,71€","19987,43"
416,,,20.0,12960.0,"1,530","4,99",250.0,"1,530","19828,8","0,10","1982,88","1,68€","21811,68"
417,,,,,,,,,,,,,
418,100687160000,"Einkaufstasche 100% Bambus- Viskose , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 360 , Kartons auf Palette
 = 12",1.0,160.0,"1,670","4,99",250.0,"1,67","267,2","0,45","120,24","2,42€","387,44"
419,,,2.0,520.0,"1,670","4,99",250.0,"1,67","868,4","0,42","364,72","2,37€","1233,12"
420,,,3.0,880.0,"1,670","4,99",250.0,"1,67","1469,6","0,38","558,44","2,30€","2028,04"
421,,,4.0,1240.0,"1,670","4,99",250.0,"1,66","2070,79","0,36","745,48","2,27€","2816,27"
422,,,5.0,1600.0,"1,670","4,99",250.0,"1,67","2672,0","0,34","908,48","2,23€","3580,48"
423,,,6.0,1960.0,"1,670","4,99",250.0,"1,67","3273,2","0,32","1047,42","2,20€","4320,62"
424,,,7.0,2320.0,"1,670","4,99",250.0,"1,67","3874,39","0,28","1084,83","2,13€","4959,23"
425,,,8.0,2680.0,"1,670","4,99",250.0,"1,66","4475,59","0,26","1163,65","2,10€","5639,25"
426,,,9.0,3040.0,"1,670","4,99",250.0,"1,67","5076,8","0,24","1218,43","2,07€","6295,23"
427,,,10.0,3400.0,"1,670","4,99",250.0,"1,67","5678,0","0,22","1249,16","2,03€","6927,16"
428,,,,,,,,,,,,,
429,100687160000-PAL,"Einkaufstasche 100% Bambus- Viskose , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 360 , Kartons auf Palette
 = 12",1.0,2360.0,"1,670","4,99",250.0,"1,67","3941,2","0,20","788,24","2,00€","4729,44"
430,,,2.0,6680.0,"1,670","4,99",250.0,"1,67","11155,6","0,19","2119,56","1,98€","13275,16"
431,,,3.0,11000.0,"1,670","4,99",250.0,"1,67","18370,0","0,18","3306,6","1,97€","21676,6"
432,,,4.0,15320.0,"1,670","4,99",250.0,"1,67","25584,39","0,17","4349,34","1,95€","29933,73"
433,,,5.0,19640.0,"1,670","4,99",250.0,"1,66","32798,79","0,16","5247,80","1,93€","38046,6"
434,,,6.0,23960.0,"1,670","4,99",250.0,"1,67","40013,2","0,15","6001,98","1,92€","46015,17"
435,,,7.0,28280.0,"1,670","4,99",250.0,"1,67","47227,6","0,14","6611,86","1,90€","53839,46"
436,,,8.0,32600.0,"1,670","4,99",250.0,"1,67","54442,0","0,13","7077,46","1,88€","61519,46"
437,,,9.0,36920.0,"1,670","4,99",250.0,"1,67","61656,39","0,12","7398,76","1,87€","69055,15"
438,,,10.0,41240.0,"1,670","4,99",250.0,"1,67","68870,8","0,10","6887,08","1,83€","75757,88"
439,,,,,,,,,,,,,
440,150636010000,"Bambus-Kosmetiktücher 3-lagig / 100 Blatt , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 84 , Kartons auf Palette
 = 12",1.0,84.0,"2,680","4,99",250.0,"2,739","230,11","0,45","103,55","3,97€","333,66"
441,,,2.0,168.0,"2,680","4,99",250.0,"2,680","450,24","0,42","189,10","3,81€","639,34"
442,,,3.0,252.0,"2,680","4,99",250.0,"2,680","675,36","0,38","256,64","3,70€","932,00"
443,,,4.0,336.0,"2,680","4,99",250.0,"2,680","900,48","0,36","324,17","3,64€","1224,65"
444,,,5.0,420.0,"2,680","4,99",250.0,"2,680","1125,6","0,34","382,70","3,59€","1508,30"
445,,,6.0,504.0,"2,680","4,99",250.0,"2,680","1350,72","0,32","432,23","3,54€","1782,95"
446,,,7.0,588.0,"2,680","4,99",250.0,"2,680","1575,84","0,28","441,24","3,43€","2017,08"
447,,,8.0,672.0,"2,680","4,99",250.0,"2,680","1800,96","0,26","468,25","3,38€","2269,21"
448,,,9.0,756.0,"2,680","4,99",250.0,"2,680","2026,08","0,24","486,26","3,32€","2512,34"
449,,,10.0,840.0,"2,680","4,99",250.0,"2,680","2251,2","0,22","495,26","3,27€","2746,46"
450,,,,,,,,,,,,,
451,150636010000-PAL,"Bambus-Kosmetiktücher 3-lagig / 100 Blatt , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 84 , Kartons auf Palette
 = 12",1.0,1008.0,"2,680","4,99",250.0,"2,680","2701,44","0,20","540,29","3,22€","3241,73"
